Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB)
2025-03-21 11:01:29,1820,13546,80,17493,5098
2025-03-21 11:01:34,1840,13526,80,17493,5098
2025-03-21 11:01:40,1859,13507,100,17493,5098
2025-03-21 11:01:45,1832,13534,80,17493,5098
2025-03-21 11:01:50,1811,13556,100,17493,5098
2025-03-21 11:01:55,1859,13507,80,17493,5098
2025-03-21 11:02:01,1869,13497,100,17493,5098
2025-03-21 11:02:06,1832,13534,80,17493,5098
2025-03-21 11:02:11,1872,13495,80,17493,5098
2025-03-21 11:02:16,1862,13504,100,17493,5098
2025-03-21 11:02:22,1876,13492,90,17493,5098
2025-03-21 11:02:27,1878,13488,80,17493,5098
2025-03-21 11:02:32,1858,13508,100,17493,5098
2025-03-21 11:02:37,1802,13565,80,17493,5098
2025-03-21 11:02:42,1810,13557,100,17493,5098
2025-03-21 11:02:48,1864,13505,80,17493,5098
2025-03-21 11:02:53,1817,13550,80,17493,5098
2025-03-21 11:02:58,1845,13521,80,17493,5098
2025-03-21 11:03:03,1976,13390,80,17493,5098
2025-03-21 11:03:09,1982,13385,100,17493,5098
2025-03-21 11:03:14,1868,13498,100,17493,5098
2025-03-21 11:03:19,1914,13453,80,17493,5098
2025-03-21 11:03:24,1928,13439,100,17493,5098
2025-03-21 11:03:30,1848,13521,80,17493,5098
2025-03-21 11:03:35,1851,13516,100,17493,5098
2025-03-21 11:03:40,1892,13474,80,17493,5098
2025-03-21 11:03:45,1869,13497,100,17493,5098
2025-03-21 11:03:51,1869,13498,80,17493,5098
2025-03-21 11:03:56,1826,13541,100,17493,5098
2025-03-21 11:04:01,1845,13522,80,17493,5098
2025-03-21 11:04:06,1934,13433,80,17493,5098
2025-03-21 11:04:11,1898,13468,80,17493,5098
2025-03-21 11:04:17,1847,13522,100,17493,5098
2025-03-21 11:04:22,1834,13533,80,17493,5098
2025-03-21 11:04:27,1898,13468,80,17493,5098
2025-03-21 11:04:32,1915,13451,100,17493,5098
2025-03-21 11:04:38,1848,13519,93,17493,5098
2025-03-21 11:04:43,1830,13537,100,17493,5098
2025-03-21 11:04:48,1789,13579,100,17493,5098
2025-03-21 11:04:53,1848,13519,88,17493,5098
2025-03-21 11:04:58,1896,13470,80,17493,5098
2025-03-21 11:05:04,1781,13586,80,17493,5098
2025-03-21 11:05:09,1895,13472,82,17493,5098
